Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21,SE-Gf,SE-Gwm ,SE-Glr,SE-Gv,SE-Gc,SE-Ga,SE-Gs,SR-Gf,SR-Gwm,SR-Glr,SR-Gv,SR-Gc,SR-Ga,SR-Gs
Female,25,Luar Jawa,IPA,3.5,2,3,4,3,5,4,4,4,3,4,4,4,3,3,4,4,4,4,5,4,3,86,91,122,122,96,127,130,9,12,11,12,10,12,12
Female,19,Jawa,IPA,3.47,3,4,3,2,4,3,2,3,4,4,4,3,4,3,4,3,4,2,5,5,5,98,80,79,119,127,93,127,10,9,9,11,11,9,15
Male,19,Jawa,Others,3.25,2,3,2,2,3,2,2,3,3,4,4,2,2,2,3,2,2,1,2,3,3,83,82,82,129,80,91,92,7,7,8,10,7,5,8
Female,19,Jawa,IPA,3.85,2,3,2,1,2,2,1,1,1,4,5,5,2,3,3,4,3,3,1,1,2,79,72,76,127,86,121,89,7,5,3,14,8,10,4
Male,19,Jawa,IPS,3.54,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,92,84,80,89,90,97,94,8,6,7,9,9,9,7
Female,20,Jawa,IPA,3.85,2,4,2,4,3,3,3,2,5,3,4,4,4,3,4,4,5,2,3,4,4,80,130,93,91,122,122,120,8,10,10,11,11,11,11
Female,21,Jawa,IPA,3.52,3,2,2,4,4,3,4,4,4,3,5,2,3,2,4,1,2,1,4,3,5,92,122,77,86,96,73,90,7,11,12,10,9,4,12
Male,21,Jawa,IPA,3.09,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,1,3,3,3,91,83,82,80,92,91,86,9,9,7,9,9,7,9
Male,20,Luar Jawa,IPA,3.94,5,5,2,1,1,1,3,2,2,4,4,4,5,3,3,1,2,2,4,5,4,124,75,92,116,122,80,122,12,3,7,12,11,5,13
Male,19,Jawa,IPS,2.18,4,4,4,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,126,127,127,122,125,125,127,12,15,11,12,12,12,15
Female,20,Luar Jawa,Others,3.53,3,4,5,3,4,3,5,5,5,3,4,2,4,3,3,3,4,4,4,4,2,90,97,124,91,126,92,123,12,10,15,9,10,11,10
Male,19,Luar Jawa,IPS,3.25,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,4,5,5,4,4,4,122,124,127,123,130,117,127,15,15,14,14,13,14,12
Female,19,Jawa,Others,3.55,2,3,4,2,3,2,2,2,1,4,2,3,3,2,4,4,3,3,4,3,4,83,84,83,123,93,131,90,9,7,5,9,9,10,11
Male,21,Jawa,IPA,3.25,3,3,4,3,3,2,3,4,3,3,2,3,3,3,3,2,2,3,3,2,2,89,89,88,94,91,84,78,10,8,10,8,9,7,7
Male,22,Luar Jawa,Others,3.2,4,4,5,4,5,5,4,5,4,5,4,4,4,4,5,4,4,4,5,5,5,123,126,125,129,126,121,122,13,14,13,13,13,12,15
Female,20,Jawa,Others,3.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,99,89,89,90,95,125,91,9,9,9,9,10,12,9
Female,19,Luar Jawa,Others,3.71,2,4,4,5,4,3,3,5,5,5,5,5,3,4,5,3,5,5,5,2,5,83,124,91,124,88,83,80,10,12,13,15,12,13,12
Male,20,Jawa,IPS,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129,130,122,127,127,128,125,15,14,15,15,15,15,15
Male,20,Jawa,Others,2.3,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,84,76,75,82,81,69,101,5,4,5,5,3,3,3
Female,19,Jawa,Others,3.09,5,4,4,4,4,3,3,3,3,2,3,5,4,3,3,3,3,3,4,3,2,127,126,88,81,120,88,88,13,11,9,10,10,9,9
Male,19,Luar Jawa,IPA,3.67,4,5,4,2,3,2,3,5,5,4,4,5,2,3,3,2,2,1,3,2,4,126,75,90,117,85,74,87,13,7,13,13,8,5,9
Female,18,Jawa,IPA,3.4,5,5,3,2,4,2,4,3,5,5,5,2,4,3,5,4,5,4,5,5,5,128,80,129,112,128,124,121,13,8,12,12,12,13,15
Male,19,Jawa,Others,3.96,4,4,4,5,5,4,3,3,4,4,4,4,5,5,4,3,3,2,4,4,5,126,122,96,127,122,89,127,12,14,10,12,14,8,13
Male,19,Jawa,IPA,3.78,4,4,3,5,4,4,4,5,5,3,4,4,4,4,5,2,3,4,4,5,5,130,122,119,91,123,83,120,11,13,14,11,13,9,14
Male,19,Luar Jawa,IPS,3.6,4,4,2,3,4,2,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,123,85,116,123,124,91,123,10,9,12,11,11,9,11
Female,19,Luar Jawa,Others,3.51,2,2,4,3,3,2,2,5,4,3,3,4,3,3,3,3,3,3,3,3,1,76,87,88,88,92,91,88,8,8,11,10,9,9,7
Female,18,Jawa,Others,3,3,3,3,3,4,2,2,4,2,3,3,4,3,2,3,2,4,2,3,4,3,91,89,85,92,87,81,121,9,9,8,10,8,8,10
Female,19,Luar Jawa,IPS,3,4,3,4,3,4,3,5,5,5,5,5,5,3,3,5,4,4,4,4,4,4,127,94,130,120,97,119,119,11,10,15,15,11,12,12
Male,19,Jawa,Others,4,3,3,4,4,5,3,3,5,5,4,3,4,5,3,5,3,4,4,5,5,5,88,125,95,127,122,93,124,10,12,13,11,13,11,15
Male,18,Jawa,IPA,3.97,4,4,2,4,5,5,3,5,3,5,5,5,3,3,3,1,2,2,3,3,5,122,118,95,125,94,81,89,10,14,11,15,9,5,11
Female,19,Jawa,IPA,2.8,2,2,2,4,3,4,4,5,4,3,2,2,3,4,4,2,4,4,4,5,4,85,122,124,85,91,79,124,6,11,13,7,11,10,13
Female,19,Jawa,Others,3,3,4,2,3,4,3,4,2,2,2,2,1,3,3,3,1,3,3,4,4,3,89,75,117,124,89,80,128,9,10,8,5,9,7,11
Female,21,Jawa,IPA,3.74,4,4,4,4,4,4,3,5,3,2,4,2,2,3,3,3,3,2,2,2,2,120,128,97,80,84,88,81,12,12,11,8,8,8,6
Female,18,Luar Jawa,IPA,3.57,3,4,3,2,3,3,2,3,2,3,4,4,3,3,4,4,4,3,4,4,4,93,83,79,87,95,124,120,10,8,7,11,10,11,12
Male,20,Jawa,IPA,3.5,4,4,3,3,4,3,3,5,5,5,5,5,4,3,4,4,4,3,3,2,5,120,94,89,129,127,124,78,11,10,13,15,11,11,10
Male,20,Jawa,IPA,3.56,3,4,3,4,3,3,4,4,5,2,2,4,4,5,4,3,4,2,3,2,4,86,120,121,88,118,93,81,10,10,13,8,13,9,9
Male,19,Luar Jawa,IPA,3.58,3,4,2,4,2,4,4,5,5,4,5,5,3,4,4,3,4,3,2,2,3,88,121,130,122,93,73,78,9,10,14,14,11,10,7
Male,19,Jawa,Others,3.43,2,3,4,4,2,3,4,2,2,2,2,2,4,4,4,4,2,4,4,4,2,77,122,124,82,126,124,123,9,9,8,6,12,10,10
Male,19,Jawa,IPS,1.8,4,4,3,4,5,4,3,3,4,5,5,4,4,3,4,3,4,5,3,2,4,125,116,86,124,121,89,84,11,13,10,14,11,12,9
Male,19,Jawa,IPA,3,4,3,2,3,3,2,3,4,4,4,3,4,4,3,3,2,4,3,4,2,2,131,91,88,119,120,85,83,9,8,11,11,10,9,8
Female,19,Jawa,IPA,3.09,4,3,2,4,4,4,4,4,3,3,2,5,3,3,4,3,3,2,3,3,3,121,125,124,98,84,90,94,9,12,11,10,10,8,9
Female,19,Jawa,IPA,3,2,2,3,4,2,3,1,2,2,3,3,4,3,2,3,4,4,3,2,2,4,85,125,76,94,91,125,90,7,9,5,10,8,11,8
Male,18,Luar Jawa,IPS,3.71,3,4,3,2,3,2,2,3,4,3,3,2,3,4,3,2,3,1,3,4,3,90,83,79,92,86,77,129,10,7,9,8,10,6,10
Female,20,Jawa,Others,3.7,2,4,5,3,3,3,3,4,5,2,2,1,3,3,3,2,2,1,1,2,3,86,97,87,126,89,85,82,11,9,12,5,9,5,6
Female,20,Jawa,IPS,3.6,5,5,5,2,3,3,5,5,5,4,4,5,5,3,3,5,5,4,4,4,4,120,82,90,122,128,127,126,15,8,15,13,11,14,12
Female,19,Luar Jawa,IPS,3.68,3,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,3,86,128,120,127,124,125,123,13,14,14,15,14,15,12
Male,18,Luar Jawa,Others,3.5,4,4,3,3,4,4,3,3,4,3,3,4,5,4,4,3,3,5,4,4,3,118,95,93,85,127,87,123,11,11,10,10,13,11,11
Female,18,Luar Jawa,IPA,3.89,4,5,4,3,5,3,3,4,5,5,4,5,4,3,3,1,2,1,5,3,3,124,99,94,127,127,83,90,13,11,12,14,10,4,11
Female,21,Jawa,IPA,3.4,3,4,3,2,3,3,3,4,3,4,4,4,3,3,4,2,3,3,4,3,4,95,78,84,128,90,79,100,10,8,10,12,10,8,11
Female,18,Luar Jawa,IPS,3.5,3,2,3,4,4,3,3,2,3,3,2,3,4,3,4,3,4,2,4,3,4,95,122,96,91,129,98,92,8,11,8,8,11,9,11
Male,19,Luar Jawa,IPS,3.15,4,3,3,2,2,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,125,85,129,119,93,93,95,10,7,12,11,9,11,10
Male,18,Luar Jawa,IPS,3.6,3,3,3,3,3,3,3,3,4,3,3,3,2,3,4,3,2,3,3,3,3,93,85,89,88,83,87,88,9,9,10,9,9,8,9
Male,19,Luar Jawa,Others,3.4,4,4,3,2,3,2,2,2,2,4,4,3,2,3,2,3,4,3,2,2,2,126,82,83,124,83,92,83,11,7,6,11,7,10,6
Male,20,Jawa,Others,1.02,3,4,3,3,2,4,3,5,5,1,2,2,3,3,4,1,2,2,4,5,5,97,90,96,78,96,73,77,10,9,13,5,10,5,14
Male,19,Jawa,IPA,3.87,2,4,2,4,4,2,3,4,4,4,3,4,4,3,3,4,5,4,4,3,4,77,123,94,126,121,123,90,8,10,11,11,10,13,11
Female,19,Jawa,Others,3.86,4,3,2,5,5,5,3,4,3,5,5,4,4,3,4,3,3,2,5,5,5,123,120,92,126,122,91,123,9,15,10,14,11,8,15
Female,19,Luar Jawa,Others,3,2,1,2,4,4,3,4,2,2,3,2,3,3,4,3,5,5,4,3,5,3,126,124,124,96,90,122,124,5,11,8,8,10,14,11
Male,20,Jawa,IPA,2.8,3,4,3,3,4,3,3,3,4,5,3,4,4,4,4,2,4,2,3,3,5,95,94,93,122,124,85,87,10,10,10,12,12,8,11
Male,20,Jawa,Others,3.1,5,4,5,5,5,5,5,5,5,5,4,5,3,4,4,5,5,3,5,4,5,122,124,125,128,90,125,121,14,15,15,14,11,13,14
Male,20,Jawa,Others,3.2,4,4,4,3,3,4,3,3,3,5,5,4,2,3,2,3,4,3,3,2,3,120,91,98,131,86,96,81,12,10,9,14,7,10,8
Female,19,Luar Jawa,Others,3.32,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,127,97,93,91,89,96,122,10,9,9,9,9,10,10
Female,20,Luar Jawa,IPS,3.61,4,4,3,2,2,2,4,4,5,5,5,4,3,3,5,4,4,2,4,4,3,121,83,121,128,92,126,125,11,6,13,14,11,10,11
Female,19,Jawa,IPS,3.51,3,4,3,2,3,3,2,3,4,3,2,4,2,2,5,3,4,4,3,3,4,95,86,83,91,83,94,91,10,8,9,9,9,11,10
Male,19,Luar Jawa,IPA,3.61,2,3,2,2,3,3,3,4,4,4,2,4,4,3,4,2,3,3,3,4,2,82,82,92,124,120,86,121,7,8,11,10,11,8,9
Female,19,Jawa,Others,3,3,3,2,3,4,2,4,5,3,5,4,3,3,3,3,2,4,4,4,3,4,85,93,120,128,87,77,93,8,9,12,12,9,10,11
Female,19,Jawa,IPA,3.7,3,3,3,4,4,3,3,5,5,5,5,5,3,3,4,3,5,3,5,4,5,91,127,99,121,88,93,119,9,11,13,15,10,11,14
Male,20,Jawa,IPA,3.35,3,3,4,4,4,4,3,3,5,4,3,4,4,3,4,4,4,4,4,4,4,99,121,96,120,120,122,119,10,12,11,11,11,12,12
Female,19,Luar Jawa,IPS,3.73,3,4,3,2,3,3,3,3,2,4,4,4,3,3,3,3,4,2,4,3,2,88,78,91,129,91,90,89,10,8,8,12,9,9,9
Female,20,Luar Jawa,Others,4,2,5,2,5,5,5,5,5,3,5,5,2,5,4,5,4,4,2,5,5,2,86,125,123,124,133,127,126,9,15,13,12,14,10,12
Male,19,Jawa,IPS,3.8,5,5,4,4,4,5,4,5,5,5,5,5,4,3,4,3,4,2,5,3,4,124,125,126,125,122,92,93,14,13,14,15,11,9,12
Female,19,Jawa,IPA,3.5,4,4,4,3,5,4,3,5,4,5,5,4,4,3,4,4,5,3,4,4,2,121,90,94,121,120,125,120,12,12,12,14,11,12,10
Male,18,Luar Jawa,IPA,3.7,5,5,4,5,4,4,4,5,5,5,4,5,3,3,4,5,5,5,4,5,4,126,125,121,126,94,128,128,14,13,14,14,10,15,13
Female,18,Jawa,IPA,3.15,3,3,2,2,3,2,3,2,3,4,4,3,3,3,3,2,4,2,3,3,4,90,83,94,128,88,84,93,8,7,8,11,9,8,10
Male,19,Jawa,IPA,3.14,3,4,3,3,4,2,2,3,5,3,4,4,4,4,4,4,4,4,3,3,3,94,92,87,97,122,119,90,10,9,10,11,12,12,9
Male,19,Jawa,Others,3.15,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,4,3,3,88,96,91,96,91,93,87,9,10,10,9,9,8,10
Male,19,Luar Jawa,IPA,3.4,3,4,2,3,3,3,3,3,3,4,3,2,3,3,3,2,4,2,3,4,4,94,88,95,124,94,79,129,9,9,9,9,9,8,11
Female,18,Jawa,IPA,3.4,3,4,4,4,4,3,4,4,3,4,3,4,3,3,3,3,4,5,3,3,2,89,120,122,119,88,94,95,11,11,11,11,9,12,8
Female,20,Luar Jawa,IPA,3.8,3,3,3,2,2,2,2,3,3,4,2,2,3,2,2,2,3,2,2,3,2,84,78,85,125,94,82,95,9,6,8,8,7,7,7
Female,18,Jawa,IPA,3.34,3,3,2,2,4,3,4,4,3,4,4,5,4,4,3,3,4,3,4,3,4,95,77,120,128,125,87,89,8,9,11,13,11,10,11
Male,19,Jawa,IPA,3.66,4,5,4,4,5,5,4,5,2,4,5,3,5,5,4,4,5,2,4,4,4,119,130,126,122,128,124,122,13,14,11,12,14,11,12
Female,20,Jawa,IPS,3.69,5,5,5,5,5,5,5,5,4,2,4,4,5,5,5,5,5,5,5,5,5,127,129,127,83,130,124,118,15,15,14,10,15,15,15
Male,20,Jawa,IPS,2.65,4,4,4,5,4,3,3,2,4,4,3,4,3,4,4,3,4,2,4,4,4,124,129,89,124,97,94,117,12,12,9,11,11,9,12
Female,24,Luar Jawa,IPS,3.7,3,3,3,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,4,3,89,121,131,124,124,133,126,9,13,14,15,14,15,12
Female,19,Jawa,IPA,4,2,5,5,4,5,4,5,5,4,1,1,2,5,5,5,2,5,5,4,4,5,91,126,124,81,130,87,125,12,13,14,4,15,12,13
Female,18,Luar Jawa,IPA,3.94,4,3,3,4,4,2,2,4,5,4,4,4,4,3,3,3,4,2,4,4,5,120,120,83,127,119,94,127,10,10,11,12,10,9,13
Male,19,Luar Jawa,IPA,3,4,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,129,92,95,86,92,88,93,10,10,9,11,10,9,9
Male,19,Jawa,Others,3.24,4,3,4,2,3,3,2,5,5,3,3,2,3,4,3,3,4,3,3,3,3,126,78,83,91,90,89,94,11,8,12,8,10,10,9
Female,18,Luar Jawa,IPS,3.4,4,4,3,3,4,4,3,3,5,4,3,4,4,3,4,3,4,3,3,3,4,121,96,96,122,125,90,89,11,11,11,11,11,10,10
Male,19,Luar Jawa,IPS,3.6,4,3,2,2,4,2,2,1,4,2,2,4,3,3,4,2,2,1,4,5,3,119,81,86,81,92,81,125,9,8,7,8,10,5,12
Male,19,Jawa,Others,3.3,5,5,5,5,5,4,3,5,5,5,5,5,4,5,4,3,5,3,2,1,1,124,127,92,123,73,93,79,15,14,13,15,13,11,4
Male,19,Jawa,IPS,3.7,4,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,5,5,4,4,4,127,122,128,125,124,117,117,12,13,15,13,13,14,12
Female,19,Jawa,IPS,3.22,4,3,4,1,2,1,2,2,2,3,3,2,2,4,3,3,3,2,5,4,4,120,110,88,126,79,94,92,11,4,6,8,9,8,13
Female,19,Luar Jawa,IPA,3.88,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,81,78,100,84,74,80,76,5,4,4,5,3,4,3
Female,19,Luar Jawa,IPS,3.54,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,122,125,119,127,128,132,124,11,12,12,12,12,12,12
Female,19,Jawa,IPS,3.2,5,5,4,4,5,4,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,123,125,127,123,124,119,123,14,13,15,12,12,14,15
Male,20,Luar Jawa,IPS,3.56,4,5,3,3,5,3,3,4,3,5,4,4,4,5,4,3,4,3,4,4,5,124,89,91,130,127,87,124,12,11,10,13,13,10,13
Male,19,Jawa,IPS,3.5,3,4,3,2,3,2,4,3,4,2,2,2,2,3,3,2,2,1,2,2,2,90,85,120,89,87,87,81,10,7,11,6,8,5,6
Female,19,Jawa,IPS,3.87,4,4,3,3,3,3,3,4,4,3,3,4,3,3,4,3,3,3,4,3,2,123,90,87,88,87,92,94,11,9,11,10,10,9,9
Female,18,Luar Jawa,Others,3.73,3,3,3,4,4,4,3,4,5,4,4,3,4,3,4,3,4,3,4,4,4,84,125,90,120,122,93,120,9,12,12,11,11,10,12
Male,20,Jawa,IPS,3.5,3,4,2,3,3,2,2,1,1,3,3,3,3,4,4,3,4,3,4,5,4,97,94,83,83,95,94,125,9,8,4,9,11,10,13
Female,19,Luar Jawa,IPS,3.53,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,92,80,82,98,88,93,90,9,6,7,8,9,9,9
Male,19,Luar Jawa,IPA,3.68,4,3,3,3,3,3,3,3,4,3,3,5,3,3,3,3,4,2,3,3,2,121,84,91,92,95,97,90,10,9,10,11,9,9,8
Male,19,Luar Jawa,IPA,3.87,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,92,126,125,122,129,115,125,9,11,12,12,12,13,14
Female,18,Jawa,IPA,3.85,4,3,2,4,4,3,3,5,5,3,3,3,3,4,4,3,4,3,3,2,3,130,121,94,93,93,96,110,9,11,13,9,11,10,8
Female,20,Jawa,IPS,3.41,3,3,2,2,3,2,4,4,5,4,4,4,3,2,3,3,3,2,3,3,2,92,76,87,125,92,89,92,8,7,13,12,8,8,8
Male,20,Jawa,IPS,2.87,4,3,3,3,2,3,4,4,5,3,3,3,4,3,2,3,3,2,3,3,2,119,99,83,121,119,92,90,10,8,13,9,9,8,8
Female,18,Jawa,IPS,3,4,3,2,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,124,124,124,125,119,95,126,9,13,13,15,15,15,12
Female,18,Jawa,IPS,3.77,2,3,4,2,4,3,3,4,4,3,4,3,2,2,3,5,5,4,1,1,1,85,82,89,90,83,76,70,9,9,11,10,7,14,3
Female,18,Jawa,IPA,3.45,2,2,3,3,4,4,3,4,5,4,4,4,4,3,3,3,4,3,3,2,3,82,94,89,123,131,94,79,7,11,12,12,10,10,8
Female,19,Jawa,IPA,3.16,3,4,3,3,3,3,2,5,3,4,4,5,3,3,4,2,3,2,5,3,4,91,93,82,125,92,77,92,10,9,10,13,10,7,12
Female,19,Jawa,IPA,3.83,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,90,89,98,95,88,94,92,9,9,9,9,9,9,9
Male,20,Jawa,IPA,3.1,4,3,3,2,3,3,3,3,3,4,3,4,5,4,3,4,3,2,3,3,3,121,101,102,123,121,121,94,10,8,9,11,12,9,9
Male,18,Luar Jawa,IPA,3.96,4,4,3,3,5,4,3,5,4,5,5,4,5,4,5,4,4,4,5,5,3,129,85,89,122,121,130,131,11,12,12,14,14,12,13
Female,19,Luar Jawa,IPA,3.56,4,2,2,2,4,3,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,118,83,101,81,95,80,80,8,9,9,6,9,6,7
Male,19,Jawa,IPS,3.25,3,3,4,2,2,2,3,5,4,5,4,2,3,4,4,2,4,4,3,2,1,98,95,91,126,94,83,82,10,6,12,11,11,10,6
Male,18,Jawa,IPA,3.3,3,4,3,2,2,2,1,1,2,3,4,4,3,3,3,4,1,1,3,4,2,90,84,78,93,95,130,127,10,6,4,11,9,6,9
Male,24,Jawa,Others,3.37,3,2,3,2,2,1,4,4,4,3,3,5,2,3,3,2,2,1,4,4,4,91,99,80,95,86,83,119,8,5,12,11,8,5,12
Female,20,Luar Jawa,IPA,3.63,4,4,3,4,5,5,5,3,4,3,3,4,4,5,5,5,5,4,3,2,2,121,118,122,100,86,122,88,11,14,12,10,14,14,7
Female,18,Jawa,IPA,3.97,3,3,2,2,3,2,2,5,5,4,4,2,2,2,2,2,3,1,3,5,4,85,102,103,121,132,87,126,8,7,12,10,6,6,12
Female,19,Jawa,IPS,3,2,3,2,2,2,2,2,3,4,4,3,4,2,2,2,2,3,2,4,3,3,81,88,85,124,79,82,98,7,6,9,11,6,7,10
Female,19,Jawa,IPS,3.75,3,3,3,3,3,3,3,3,5,3,3,3,4,4,4,3,3,3,4,3,3,96,97,88,88,127,91,92,9,9,11,9,12,9,10
Male,20,Jawa,Others,2.5,3,3,3,3,5,4,2,5,4,4,4,5,3,3,4,4,4,3,3,3,2,90,95,88,123,90,127,94,9,12,11,13,10,11,8
Female,19,Luar Jawa,IPA,3.67,4,3,4,2,4,3,2,5,3,5,3,3,3,2,3,3,5,5,4,4,5,122,81,92,123,87,90,125,11,9,10,11,8,13,13
Male,20,Luar Jawa,IPA,3.61,3,3,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,3,4,3,90,120,120,128,126,118,128,10,12,14,14,12,12,10
Female,19,Jawa,IPA,3.52,3,2,2,3,4,3,2,4,5,5,4,3,3,2,2,3,4,2,3,4,3,86,105,82,126,92,96,123,7,10,11,12,7,9,10
Female,18,Jawa,Others,3.53,3,4,5,3,5,2,3,4,4,2,2,4,4,4,5,3,4,2,4,4,3,106,100,92,84,123,90,118,12,10,11,8,13,9,11
Male,19,Jawa,Others,2.86,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,92,90,112,87,90,89,92,10,9,9,9,9,9,9
Male,21,Jawa,IPA,3.71,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,5,101,131,95,126,121,122,119,12,12,11,13,12,12,13
Male,18,Luar Jawa,Others,3.53,4,4,4,3,5,3,4,4,4,5,4,3,4,4,5,3,4,3,4,5,3,120,90,118,127,124,93,119,12,11,12,12,13,10,12
Female,22,Jawa,Others,3.72,4,4,3,2,5,5,5,5,5,2,2,3,4,3,4,4,5,3,5,5,5,102,79,120,83,122,120,126,11,12,15,7,11,12,15
Female,19,Jawa,IPS,3.8,4,4,2,2,4,1,1,1,1,4,5,5,3,3,3,4,4,4,2,2,2,129,90,75,116,88,86,84,10,7,3,14,9,12,6
Male,20,Jawa,Others,3.5,2,2,2,1,2,3,2,3,3,3,5,3,2,2,4,2,3,1,3,3,3,83,78,83,91,79,81,90,6,6,8,11,8,6,9
Male,21,Luar Jawa,IPA,3.43,2,2,2,2,3,3,2,3,4,4,3,4,2,3,3,2,4,2,4,3,3,77,79,81,122,84,86,95,6,8,9,11,8,8,10
Female,19,Luar Jawa,Others,3,3,4,3,4,5,4,3,3,5,4,3,3,3,5,4,4,5,3,5,5,3,85,122,89,122,89,128,127,10,13,11,10,12,12,13
Female,19,Jawa,IPA,3.37,4,5,3,4,4,3,3,5,5,4,4,4,2,3,4,4,4,3,5,5,5,123,125,99,120,87,127,120,12,11,13,12,9,11,15
Female,20,Luar Jawa,IPA,3.57,4,4,4,3,4,4,3,4,4,5,5,3,3,3,4,4,4,2,4,4,3,129,92,93,125,84,127,126,12,11,11,13,10,10,11
Male,18,Luar Jawa,IPA,2.05,4,4,3,1,1,2,1,2,2,4,4,4,4,4,4,2,2,1,4,3,2,121,105,76,126,126,83,93,11,4,5,12,12,5,9
Male,19,Jawa,IPA,3.89,3,4,4,4,3,3,2,2,3,4,4,4,3,3,4,2,4,2,2,3,4,89,122,81,128,91,85,90,11,10,7,12,10,8,9
Male,20,Jawa,IPS,2,3,3,3,2,3,3,3,3,3,5,5,5,1,2,2,5,5,4,3,3,2,94,78,91,127,78,133,92,9,8,9,15,5,14,8
Female,19,Luar Jawa,Others,3.76,3,4,4,3,3,3,2,3,4,3,2,3,5,3,3,2,2,2,4,3,3,86,88,87,97,128,80,91,11,9,9,8,11,6,10
Male,20,Jawa,Others,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,4,3,3,96,91,123,128,88,96,90,9,9,9,10,9,8,10
Female,19,Jawa,IPS,3.48,4,3,4,4,4,2,3,3,4,3,4,2,4,3,4,2,3,3,3,4,3,129,116,91,92,121,84,129,11,10,10,9,11,8,10
Male,19,Luar Jawa,IPS,3.48,2,3,2,3,3,2,2,3,2,3,3,3,2,3,3,2,3,2,3,3,2,75,89,85,86,85,84,92,7,8,7,9,8,7,8
Male,20,Luar Jawa,IPA,3.4,4,5,3,5,4,3,3,4,5,5,3,4,4,3,4,2,4,3,4,4,3,129,128,93,121,118,80,123,12,12,12,12,11,9,11
Male,21,Jawa,IPS,3.67,3,4,3,4,4,4,4,4,4,4,5,5,4,4,4,3,4,4,4,4,2,86,121,123,126,123,90,122,10,12,12,14,12,11,10
Female,21,Jawa,IPS,3.78,4,3,3,3,3,3,4,3,4,4,3,4,3,3,4,4,4,3,3,3,2,120,93,114,122,94,127,96,10,9,11,11,10,11,8
Female,20,Luar Jawa,IPA,3.65,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,119,124,116,103,126,122,84,12,12,12,11,12,12,10
Female,18,Jawa,Others,3.82,3,3,3,5,4,4,3,3,5,4,4,2,3,3,3,3,4,3,4,5,4,95,149,90,121,98,87,123,9,13,11,10,9,10,13
Female,21,Jawa,IPA,3.4,3,3,3,2,3,3,3,4,3,2,2,3,3,3,3,3,3,2,3,3,3,86,85,97,83,95,98,98,9,8,10,7,9,8,9
Male,20,Luar Jawa,IPA,3.8,5,5,5,4,5,4,4,5,5,5,5,5,5,4,5,5,4,4,5,4,4,100,125,118,128,110,128,123,15,13,14,15,14,13,13
Male,21,Jawa,IPA,3.6,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,4,4,3,3,3,91,83,118,123,98,84,99,9,9,12,12,10,11,9
Female,18,Jawa,IPA,3.7,5,3,3,4,4,3,3,3,5,4,3,3,4,3,3,3,3,3,4,4,3,108,125,94,126,113,86,122,11,11,11,10,10,9,11
Female,19,Jawa,IPS,3,3,3,4,5,3,2,4,4,5,2,2,4,4,3,2,2,3,2,3,4,1,95,100,82,84,120,82,96,10,10,13,8,9,7,8
Male,19,Jawa,IPA,3.25,3,4,3,4,3,3,3,3,4,4,3,4,3,3,3,4,3,3,4,2,3,92,128,95,125,94,121,82,10,10,10,11,9,10,9
Female,21,Jawa,IPA,3.29,3,3,3,3,4,3,5,4,5,3,4,5,5,4,4,4,5,4,4,3,3,94,94,125,93,127,124,85,9,10,14,12,13,13,10
