Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21
Female,19,Luar Jawa,IPS,3.7,3,3,3,4,4,3,3,3,4,4,4,5,5,3,3,3,2,3,5,3,3
Female,21,Luar Jawa,IPA,3.89,3,3,2,1,2,1,3,3,3,3,3,5,4,4,4,1,2,2,4,4,2
Male,19,Jawa,IPA,3.45,3,4,3,4,3,4,4,5,4,5,5,5,5,3,3,3,5,3,3,2,2
Female,19,Jawa,Others,3.74,4,4,5,5,5,4,4,5,5,5,4,5,5,4,5,3,4,3,5,4,4
Female,18,Jawa,IPS,3.75,4,3,4,2,3,2,2,3,3,3,3,4,4,4,4,3,3,3,4,4,4
Female,18,Jawa,IPA,3.6,4,3,4,3,4,3,3,5,4,4,4,4,3,3,4,4,4,3,3,4,3
Male,19,Jawa,IPA,3.67,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,3,4,2,4,4,5
Female,19,Jawa,IPS,3.48,5,5,4,2,5,2,2,3,5,5,5,5,3,3,5,3,3,2,5,5,4
Female,19,Jawa,IPA,3.72,4,5,2,2,4,2,2,4,2,3,2,3,2,3,4,5,3,2,3,4,3
Male,19,Luar Jawa,IPA,2.98,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,3
Male,19,Jawa,IPA,3,4,3,3,3,3,3,3,4,3,4,4,5,4,3,3,2,4,2,3,2,4
Male,19,Jawa,IPS,3.5,4,5,4,3,5,2,3,3,2,2,2,5,5,4,5,2,3,2,5,2,5
Male,23,Jawa,IPA,3.94,4,3,4,3,4,3,4,4,5,3,4,3,4,3,4,3,3,2,4,3,3
Male,19,Jawa,IPA,3.49,4,3,2,1,2,1,3,4,4,4,4,5,3,3,3,1,1,1,1,1,2
Male,20,Jawa,IPA,3.68,5,5,4,3,3,4,3,5,5,4,4,4,3,4,3,3,4,2,4,3,5
Female,20,Jawa,IPA,3.6,3,3,2,5,4,4,4,4,5,5,5,3,4,4,4,4,4,3,2,4,4
Female,18,Luar Jawa,IPS,3.35,4,4,5,4,5,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4
Male,20,Jawa,IPA,3,5,5,5,3,3,3,3,3,5,5,3,3,3,5,3,3,3,3,3,3,3
Male,20,Jawa,IPA,3.21,4,4,4,2,3,2,4,4,4,3,4,3,4,4,4,2,3,4,2,2,2
Female,18,Luar Jawa,IPA,3.4,3,2,3,5,4,3,3,4,5,5,4,5,3,3,5,3,3,3,3,3,4
Female,20,Luar Jawa,IPS,4,3,3,4,4,4,4,3,3,4,2,2,4,3,3,5,3,3,2,3,3,2
Female,19,Jawa,IPS,3.6,3,4,3,2,4,4,4,4,4,3,2,3,4,3,3,3,2,2,3,3,3
Female,18,Jawa,IPA,3.5,3,4,3,2,4,2,3,4,5,4,4,3,4,3,3,2,4,4,3,3,4
Female,19,Jawa,IPA,2.09,4,3,4,5,4,3,3,5,4,3,2,5,3,3,4,3,3,2,3,4,3
Female,19,Jawa,Others,3,4,4,4,2,3,2,3,4,3,2,3,2,3,3,3,2,4,3,3,2,2
Female,19,Luar Jawa,IPA,4,4,5,4,5,5,4,3,4,5,5,5,2,5,5,4,3,5,4,5,5,1
Male,19,Jawa,Others,3.89,4,4,3,4,5,4,4,3,5,4,3,4,4,5,4,5,5,5,3,3,4
Female,18,Luar Jawa,IPA,3.48,3,3,3,3,3,3,4,4,3,4,4,3,2,2,2,2,2,2,3,2,3
Male,19,Jawa,IPA,3.63,3,3,2,4,2,4,2,4,4,5,4,5,4,4,5,2,4,2,3,2,4
Female,19,Jawa,IPA,3.73,2,2,1,2,2,1,2,4,2,3,5,4,5,3,5,1,4,1,3,3,3
Female,19,Jawa,IPA,3.5,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,4,4,2
Female,19,Luar Jawa,IPS,3.25,1,2,2,5,3,2,3,3,4,2,1,3,2,2,2,3,1,1,3,3,2
Female,19,Luar Jawa,Others,3.93,4,4,3,3,3,3,4,4,5,5,4,5,4,4,4,3,4,5,4,4,3
Female,20,Jawa,Others,3.7,4,2,2,2,1,3,1,2,1,4,4,3,1,1,3,2,2,1,1,1,2
Female,20,Jawa,IPA,3.68,3,4,4,3,5,4,3,5,4,3,3,4,4,3,4,3,4,2,4,3,3
Female,18,Luar Jawa,Others,4,2,3,2,1,1,2,3,4,3,3,2,3,3,2,2,3,3,1,2,3,1
Female,19,Luar Jawa,Others,3.71,4,2,2,1,5,4,5,5,5,4,5,5,5,3,5,3,5,5,3,4,3
Female,19,Jawa,IPS,3.42,3,4,3,5,5,4,3,3,2,4,4,4,3,3,3,3,4,3,4,3,3
Female,20,Jawa,IPA,3.62,3,4,3,3,4,3,3,3,4,3,4,3,4,4,4,3,4,3,3,3,3
Male,21,Jawa,IPS,3.7,5,3,3,4,3,5,2,5,5,5,4,4,4,3,5,5,5,4,5,3,4
Female,19,Jawa,IPS,3.74,3,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,3,2,2,2,3
Female,21,Jawa,IPA,3.03,4,4,4,3,3,4,3,4,2,5,5,3,3,4,5,4,5,4,3,2,4
Male,19,Luar Jawa,IPS,3.26,3,3,3,2,2,1,2,3,4,3,3,3,3,3,3,3,3,3,3,2,1
Male,19,Luar Jawa,IPS,3.23,2,1,1,5,5,2,5,5,5,1,2,2,3,2,3,1,1,1,3,4,1
Male,22,Jawa,Others,3,2,2,4,4,4,3,3,2,3,4,4,4,2,2,3,2,4,1,1,4,2
Male,20,Jawa,IPS,4,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5,4,3,5,3,3,4
Female,19,Jawa,IPS,3.8,2,3,3,2,3,3,2,3,5,3,4,2,4,3,3,2,4,5,5,3,1
Female,19,Jawa,IPA,3.5,3,3,2,3,3,3,3,2,3,3,3,3,4,2,3,2,3,4,4,3,4
Male,19,Jawa,IPS,3.25,4,5,2,3,4,4,2,5,4,4,5,4,4,4,3,4,4,5,4,3,2
Male,19,Jawa,IPS,3.68,4,4,2,2,4,2,3,5,5,4,4,4,5,4,5,2,5,3,2,2,2
Male,19,Jawa,IPS,2.76,4,4,3,3,4,3,4,3,4,4,2,4,3,3,3,3,3,3,4,4,3
Female,19,Jawa,IPA,3.88,4,4,4,3,5,4,4,5,5,5,4,4,3,3,5,4,4,4,4,4,5
Male,18,Jawa,IPA,3.31,4,4,3,2,3,2,2,4,5,4,3,5,3,3,3,1,5,1,4,4,2
Female,18,Jawa,IPS,3.53,4,3,4,4,4,3,3,4,3,3,3,3,4,4,3,4,4,3,4,4,2
Female,19,Jawa,Others,3.8,4,4,3,3,4,3,3,4,4,3,3,3,3,3,3,2,4,2,4,4,4
Male,18,Jawa,Others,3.88,4,4,3,3,3,3,2,4,4,3,4,3,3,3,3,3,4,3,3,2,2
Female,20,Jawa,IPA,3.8,3,3,2,2,3,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3
Male,21,Luar Jawa,Others,3,5,4,3,3,4,4,5,5,5,5,4,5,4,4,5,5,5,3,4,4,4
Male,19,Jawa,Others,3.66,4,5,4,4,5,4,4,5,5,5,5,5,5,4,5,4,5,5,5,5,4
Female,19,Luar Jawa,IPS,3.78,3,2,3,5,5,5,5,4,5,4,3,5,4,4,4,2,2,2,5,3,2
Female,19,Luar Jawa,IPA,3.9,3,4,3,5,4,2,3,5,5,2,3,5,3,3,3,4,3,4,5,5,3
Female,19,Jawa,IPA,3,4,4,3,5,5,4,4,5,2,5,5,5,5,5,4,4,5,5,5,5,4
Male,19,Jawa,IPA,3.17,4,3,2,2,4,2,5,4,4,2,3,4,5,5,4,2,4,5,4,2,3
Male,19,Jawa,IPS,3.3,4,4,3,3,4,3,3,5,3,4,4,5,4,3,3,3,4,2,4,4,3
Male,19,Jawa,IPS,4,4,4,2,3,3,3,3,5,5,5,4,5,4,4,4,3,4,3,3,3,2
Male,19,Jawa,IPA,3,4,4,3,4,4,4,3,3,3,5,5,3,4,4,4,3,4,3,3,3,3
Male,19,Jawa,IPS,3.56,5,4,3,2,4,2,3,3,4,2,2,4,5,4,3,3,5,5,4,4,2
Female,19,Jawa,IPS,3.63,3,3,3,3,3,3,3,4,2,3,3,4,4,3,3,3,4,3,3,3,3
Male,19,Jawa,IPA,3.75,3,4,3,2,3,3,3,4,3,4,4,4,3,4,3,3,4,4,4,3,2
Male,20,Luar Jawa,Others,3.45,3,4,3,1,3,2,2,5,5,3,2,2,4,3,3,3,4,2,2,2,5
Male,20,Jawa,IPA,3.27,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,3,4,3,3,3,3
Female,19,Jawa,IPA,3.75,5,4,3,2,3,3,3,3,4,4,2,3,3,3,4,3,3,3,3,3,3
Male,19,Jawa,IPS,3,3,3,3,3,2,3,2,5,3,5,3,3,2,3,3,3,2,3,2,3,2
Male,19,Jawa,IPA,3.85,4,2,2,2,2,2,3,4,2,4,4,2,3,4,4,2,4,2,3,3,3
Female,25,Luar Jawa,IPA,3.42,4,4,4,5,4,4,4,3,4,5,4,2,5,4,5,5,4,4,5,5,5
Female,19,Jawa,IPA,3.4,2,4,2,2,4,2,2,2,2,2,2,4,4,4,3,2,2,1,5,4,4
Male,19,Luar Jawa,IPA,3.1,3,2,2,2,3,3,4,4,3,4,3,5,5,3,4,3,4,3,3,3,2
Male,20,Jawa,IPA,3.74,2,3,3,2,4,2,3,5,3,2,4,5,3,3,3,2,4,5,4,3,2
Male,20,Jawa,IPA,3.6,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,4
Female,20,Jawa,Others,3.5,3,5,5,3,4,3,3,3,3,1,1,1,3,3,3,1,3,1,3,3,1
Female,19,Jawa,IPA,3.04,4,5,5,5,5,4,3,4,5,5,5,4,5,4,5,4,5,5,5,3,2
Male,20,Jawa,IPA,3.3,1,3,2,1,2,2,2,4,3,2,2,3,3,2,3,2,3,3,2,2,3
Female,20,Jawa,IPA,3.74,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,3
Male,20,Jawa,IPS,3,5,4,4,5,4,5,5,5,5,5,5,5,5,3,4,3,5,5,4,4,4
Female,26,Luar Jawa,IPA,3.54,4,5,3,5,5,3,2,2,1,2,3,4,4,4,5,2,5,3,3,5,2
Female,18,Jawa,IPA,3.95,3,4,2,4,4,3,3,4,2,2,3,3,4,3,3,4,4,4,4,3,3
Female,19,Jawa,IPA,3.53,4,4,3,4,4,3,3,4,4,5,4,5,4,3,4,3,4,2,4,3,4
Female,18,Jawa,IPA,3.8,4,4,5,3,3,3,3,4,4,4,3,3,3,3,5,3,4,3,3,4,3
Male,21,Jawa,IPA,3.15,4,4,2,2,3,1,1,2,2,1,1,1,2,2,3,1,2,1,1,2,3
Male,19,Jawa,IPA,3.8,4,4,2,2,4,2,1,2,1,4,2,4,4,2,4,4,4,2,4,4,2
Female,18,Jawa,IPS,3.69,3,3,3,3,3,4,2,2,4,3,2,3,3,3,3,4,3,3,2,3,2
Female,21,Luar Jawa,IPA,3.57,2,3,2,3,4,3,4,4,4,4,2,4,3,3,3,2,3,2,4,3,3
Female,18,Jawa,IPA,3.64,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3
Female,20,Jawa,IPS,3.8,4,5,3,3,4,4,5,5,5,3,3,4,5,3,3,3,4,3,3,5,3
Male,20,Jawa,IPA,3.83,4,4,5,4,4,3,4,5,5,5,5,5,3,4,4,3,4,4,3,3,5
Male,20,Luar Jawa,IPA,3.42,3,3,3,3,4,5,4,3,2,3,2,3,3,3,3,3,3,3,3,3,2
Female,19,Jawa,IPA,3.3,4,5,4,3,4,4,5,5,5,3,4,3,5,5,4,3,4,3,4,4,4
Female,19,Luar Jawa,IPA,3.71,3,4,3,4,5,3,4,4,4,4,3,5,4,4,5,3,4,4,4,4,4
Female,19,Jawa,IPS,3.64,3,3,3,3,3,3,3,3,3,2,3,4,4,3,5,3,3,2,5,4,3
Male,19,Luar Jawa,IPA,3.54,4,4,5,4,4,3,4,5,4,4,5,4,5,4,5,4,4,3,4,4,4
Female,20,Jawa,IPA,3.65,3,3,4,4,2,3,4,3,2,5,4,4,4,4,5,2,5,2,4,5,3
Female,20,Jawa,IPA,3.05,3,3,4,3,4,2,4,4,3,3,3,3,3,2,2,2,2,3,3,4,2
Female,20,Jawa,IPS,3.75,4,4,2,3,5,4,2,5,4,5,5,3,2,3,4,3,5,4,2,3,2
Male,19,Jawa,IPS,3.48,4,3,5,2,3,4,3,4,3,5,4,2,2,2,2,3,3,5,2,3,4
Male,19,Jawa,IPS,3.73,4,4,3,4,5,4,3,2,4,4,3,2,3,4,5,4,3,2,4,2,3
Male,18,Jawa,Others,3.75,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5
Male,18,Jawa,IPA,3.23,3,5,4,4,4,3,3,5,3,4,3,5,4,4,4,3,5,3,5,5,5
Female,19,Jawa,IPA,3.8,2,3,2,5,5,4,4,5,5,5,4,4,3,3,3,3,2,3,2,5,4
Female,20,Luar Jawa,IPA,3.97,3,3,3,3,4,4,3,4,4,2,3,3,3,2,4,3,3,2,3,3,3
Male,19,Jawa,IPA,3.65,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,5,5,4,4,4,5
Male,19,Luar Jawa,IPS,3.1,5,3,3,4,3,2,3,4,5,5,5,3,2,3,4,4,5,1,2,2,3
Female,20,Jawa,IPA,3.5,3,3,4,4,2,2,3,3,2,2,2,2,3,2,2,2,3,2,2,2,3
Male,18,Luar Jawa,IPA,3.65,4,4,2,3,4,4,5,5,5,5,5,3,3,4,5,5,5,1,4,3,5
Female,18,Luar Jawa,Others,3.6,2,4,3,3,3,2,2,1,2,4,3,3,4,3,3,3,4,4,4,4,4
Female,20,Jawa,IPS,3.46,4,4,2,3,4,3,3,3,2,2,3,3,4,3,4,3,4,3,3,2,3
Male,18,Luar Jawa,IPS,3.3,3,3,2,1,2,2,2,2,2,3,3,3,1,1,1,2,2,1,1,1,1
Female,18,Luar Jawa,IPS,3.28,5,4,3,4,4,3,3,5,5,2,4,4,4,3,5,3,5,3,4,3,2
Female,20,Jawa,Others,3.56,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,3
Female,20,Jawa,Others,3,3,4,3,3,4,4,2,3,4,3,3,4,3,4,4,3,3,3,3,3,3
Male,20,Luar Jawa,Others,3.5,3,3,3,3,3,4,3,3,2,3,2,3,3,3,3,2,2,1,3,4,3
Male,19,Jawa,Others,3.25,4,4,3,3,4,2,4,5,2,4,5,5,4,4,2,3,4,3,3,3,4
Female,19,Jawa,IPS,3.25,4,4,4,2,4,3,4,4,4,2,1,3,4,4,4,4,5,4,4,5,2
Female,19,Jawa,IPA,3.58,3,5,5,4,5,4,3,3,5,3,3,4,5,5,5,4,3,3,5,5,5
Female,19,Luar Jawa,Others,3.9,3,3,3,3,4,3,3,4,4,4,4,3,3,2,3,3,4,4,3,3,3
Female,19,Luar Jawa,IPA,3.5,4,4,4,4,5,2,5,4,5,4,4,5,5,3,5,5,4,4,1,1,1
Male,19,Luar Jawa,IPS,2.92,4,3,2,1,2,1,3,2,3,2,1,2,3,3,3,2,2,1,2,3,1
Female,18,Luar Jawa,IPA,3.87,4,4,3,4,5,4,3,3,5,5,2,5,5,5,5,4,5,2,5,3,4
Male,19,Luar Jawa,IPS,3.76,4,4,3,4,4,3,5,4,5,3,3,4,4,4,4,3,4,3,5,5,4
Male,19,Luar Jawa,Others,3,5,3,3,3,3,4,5,5,5,4,3,4,3,5,4,4,2,4,3,3,5
Female,20,Jawa,IPA,3.79,3,4,3,4,4,3,3,3,5,5,5,4,4,3,4,3,5,5,3,3,3
Female,20,Jawa,IPA,3.34,4,5,4,3,4,3,2,4,5,2,3,2,3,4,3,3,5,2,2,2,3
Female,19,Jawa,IPS,3.67,4,3,3,3,4,2,4,3,2,3,2,3,2,3,3,3,3,2,3,3,3
Female,20,Jawa,IPA,3.2,4,4,3,2,3,2,3,2,2,3,3,3,3,2,4,4,4,2,3,3,4
Female,19,Luar Jawa,Others,3.53,2,1,1,3,5,3,3,3,5,2,1,5,5,3,3,3,3,2,5,5,5
Male,21,Jawa,IPS,3.56,3,2,2,4,4,4,5,5,5,5,2,5,3,3,4,1,1,1,3,2,1
Female,20,Jawa,Others,3.8,4,4,4,4,3,3,4,4,3,4,4,5,4,4,4,4,4,2,3,3,2
Female,19,Jawa,Others,3.5,5,5,4,3,5,5,5,5,4,5,4,4,4,4,5,4,5,2,4,4,4
Male,19,Luar Jawa,IPA,3.64,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,4,4
Female,17,Luar Jawa,IPA,3.75,3,4,3,5,3,2,5,4,4,5,5,5,3,3,3,5,5,3,2,2,2
Male,20,Jawa,IPA,2.98,3,3,4,3,3,2,4,4,5,5,5,5,3,4,5,3,5,5,4,4,3
Female,19,Jawa,IPS,3.7,4,4,5,4,3,3,4,4,4,4,2,4,4,4,4,3,4,3,4,4,2
Male,18,Jawa,IPA,3.93,5,4,3,4,5,4,3,5,4,4,5,4,5,5,5,3,4,3,5,5,3
Male,19,Jawa,IPS,3.49,5,5,5,5,5,5,5,3,4,4,3,2,3,2,3,2,5,4,3,3,3
Male,19,Luar Jawa,Others,3.2,4,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,4,4,3,3
Female,18,Jawa,IPA,3.58,3,4,3,3,4,3,2,3,2,3,3,3,3,3,4,3,4,3,3,3,3
Male,19,Jawa,IPA,3.8,3,3,2,1,2,1,2,2,2,2,3,2,3,2,3,2,2,1,2,2,3
Female,19,Jawa,IPA,4,2,4,2,3,3,2,4,5,4,4,2,5,4,3,2,2,3,2,3,3,2
Male,19,Jawa,IPS,3.87,5,4,3,5,4,2,3,4,4,4,4,5,4,3,5,2,4,2,4,3,5
Male,19,Jawa,IPS,3.5,4,4,3,5,2,3,3,5,5,3,2,3,4,3,5,4,5,3,2,3,4
Female,20,Jawa,IPS,3.9,3,4,3,3,3,4,3,5,5,5,5,5,5,5,5,5,4,5,4,5,4
Male,19,Jawa,IPA,3,2,4,4,2,4,2,4,2,2,2,2,2,5,2,4,4,4,2,2,2,1
Male,20,Luar Jawa,Others,3.7,4,5,3,5,5,3,4,3,4,5,5,4,3,3,4,2,3,4,3,2,5
Male,18,Jawa,IPS,2.6,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4
Female,19,Jawa,IPA,3.49,5,5,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4,5,5,4,4
Male,19,Luar Jawa,IPS,3.4,3,4,4,4,5,4,4,5,3,5,5,5,3,3,4,4,3,4,3,3,4
Male,20,Jawa,IPA,3.68,3,4,3,3,3,3,3,4,3,4,4,4,3,3,4,3,4,3,3,2,4
Male,19,Jawa,IPA,3,2,2,2,3,3,2,4,5,5,4,2,5,3,3,3,3,4,2,3,3,2
Female,19,Jawa,IPA,3.83,4,3,3,3,4,3,4,4,5,4,3,3,3,3,3,2,4,3,4,3,4
Male,21,Luar Jawa,IPA,3.25,3,4,4,4,2,1,2,3,3,4,4,3,2,2,2,3,4,3,4,3,3
Male,19,Jawa,IPA,3.78,4,3,4,4,5,4,4,5,4,4,3,4,4,3,4,5,4,3,4,4,2
Female,19,Luar Jawa,IPA,3.72,2,2,3,2,1,1,2,4,4,4,4,5,2,2,3,3,4,3,2,1,3
Male,21,Jawa,Others,3.68,3,3,4,3,4,3,3,4,4,4,4,4,3,4,4,3,4,2,4,4,4
Female,19,Jawa,IPA,3.5,3,2,2,2,4,3,3,5,4,3,4,4,3,2,3,2,3,2,3,3,3
Male,18,Luar Jawa,IPS,3.43,4,4,4,4,4,3,3,3,4,4,4,4,5,4,4,3,4,3,3,3,3
Male,18,Jawa,Others,3.64,4,4,3,3,3,2,3,5,5,5,5,5,4,3,3,3,4,5,3,3,3
Male,20,Jawa,IPA,2.84,5,5,5,4,5,4,4,5,5,5,4,5,4,4,5,3,4,2,3,3,5
Female,20,Jawa,IPA,3.6,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,3,3,5,4,5
Male,18,Jawa,IPS,2.46,4,3,3,3,2,2,3,3,4,3,2,3,2,2,2,2,2,3,2,2,2
Male,20,Jawa,IPA,3.81,4,4,5,4,4,5,4,5,2,5,5,4,4,4,5,5,5,2,5,5,5
Male,19,Luar Jawa,IPA,3.1,4,3,2,3,4,3,3,4,4,4,3,4,3,3,3,3,3,2,2,2,3
Male,20,Jawa,IPA,2.9,3,3,3,3,3,3,4,4,5,3,4,3,4,4,4,4,4,4,4,4,3
Male,19,Luar Jawa,IPS,3.48,4,3,2,2,4,3,3,4,4,3,4,4,3,3,3,2,3,3,3,4,2
Female,19,Jawa,IPS,3.92,4,4,4,4,3,3,3,5,4,4,3,3,3,3,5,4,4,4,4,3,4
Female,19,Luar Jawa,IPA,3.73,3,3,4,5,4,5,3,3,2,3,1,3,1,1,2,2,2,2,3,3,5
Male,19,Luar Jawa,IPS,3.68,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,2,2
Female,18,Jawa,IPA,3.88,2,3,2,3,4,2,3,3,5,3,4,5,4,3,3,2,5,4,4,3,3
Female,19,Luar Jawa,IPS,3.58,4,4,3,3,4,4,3,4,5,4,4,2,5,4,4,3,4,2,5,4,4
Male,19,Luar Jawa,Others,3.65,4,4,2,2,3,3,3,4,3,3,3,4,4,4,4,2,4,4,4,4,2
Male,19,Jawa,IPA,3,5,5,4,5,3,4,2,5,3,5,5,4,3,3,5,4,5,5,3,3,3
Female,19,Jawa,Others,3.25,4,3,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,5,3,3,3
Male,20,Jawa,IPA,3.54,1,2,2,3,2,2,4,4,4,3,4,3,4,3,3,3,4,3,4,3,3
Male,19,Luar Jawa,IPS,2.6,3,3,2,2,3,2,2,3,3,3,2,3,2,2,3,2,4,5,3,2,1
Female,17,Luar Jawa,IPS,3.77,2,4,3,2,4,3,2,5,5,5,3,5,3,3,3,4,5,4,5,5,5
Female,19,Luar Jawa,IPS,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,3,4,5,3,4,3,3
Male,20,Jawa,Others,3.8,5,5,4,3,4,4,4,5,5,4,5,5,5,5,4,5,5,5,4,4,4
Female,18,Jawa,IPA,3.5,2,3,3,2,4,4,3,5,5,2,2,2,2,2,4,1,2,2,2,3,4
Male,18,Jawa,IPA,2.9,3,3,4,4,4,4,4,5,4,3,3,4,2,2,4,5,4,4,4,4,4
Female,19,Jawa,IPA,3.5,3,4,3,3,3,3,3,3,3,5,3,5,3,3,4,3,3,3,3,3,3
Male,22,Jawa,IPA,3.54,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,4,3,4,3,3
Male,21,Jawa,Others,3.5,4,4,4,3,3,2,2,2,2,3,3,2,3,4,3,2,2,2,2,2,5
Male,20,Jawa,IPA,3.31,4,4,4,2,4,2,3,3,2,5,4,5,2,4,5,2,4,2,4,3,4
Female,18,Jawa,IPS,3.42,2,2,3,2,3,2,2,3,2,3,4,4,3,2,3,2,3,2,3,2,2
